Compound,Polar
BACE_206,61.76009
BACE_207,54.771694
BACE_208,57.91541
BACE_209,49.433266
BACE_210,63.206905
BACE_211,63.64377
BACE_212,62.74469
BACE_213,60.297783
BACE_214,61.480503
BACE_215,53.49088
BACE_216,60.398235
BACE_217,54.8231
BACE_218,51.5594
BACE_219,62.337627
BACE_220,55.995808
BACE_221,58.038147
BACE_222,62.143917
BACE_223,64.671326
BACE_224,56.390457
BACE_225,62.28417
BACE_226,55.54063
BACE_227,58.686775
BACE_228,61.215897
BACE_229,52.039425
BACE_230,56.552532
