Compound,Polar
BACE_1,57.889847
BACE_2,65.046364
BACE_3,63.41998
BACE_4,63.974075
BACE_5,64.49531
BACE_6,62.469707
BACE_7,63.744846
BACE_8,57.336693
BACE_9,61.454384
BACE_10,60.550266
BACE_11,63.677357
BACE_12,62.655804
BACE_13,63.190205
BACE_14,62.868874
BACE_15,63.28585
BACE_16,62.569714
BACE_17,63.46823
BACE_18,62.170082
BACE_19,62.58115
BACE_20,64.85427
BACE_21,62.840027
BACE_22,63.06939
BACE_23,63.28178
BACE_24,65.559425
BACE_25,63.124687
BACE_26,63.57235
BACE_27,61.519917
BACE_28,54.946224
BACE_29,64.286995
BACE_30,60.985195
BACE_31,59.93015
BACE_32,61.40537
BACE_33,63.04594
BACE_34,55.94634
BACE_35,62.83726
BACE_36,54.253845
BACE_37,63.25651
BACE_38,57.84494
BACE_39,60.666447
BACE_40,57.557896
BACE_41,63.442364
BACE_42,58.382713
BACE_43,62.41878
BACE_44,62.2938
BACE_45,62.416588
BACE_46,60.967937
BACE_47,59.810547
BACE_48,64.50829
BACE_49,57.10802
BACE_50,62.458576
BACE_51,57.593403
BACE_52,55.2336
BACE_53,62.835476
BACE_54,56.754948
BACE_55,55.723885
BACE_56,62.98903
BACE_57,58.03259
BACE_58,57.331936
BACE_59,62.283497
BACE_60,59.352684
BACE_61,58.096397
BACE_62,54.99512
BACE_63,60.14384
BACE_64,59.90726
BACE_65,66.503685
BACE_66,59.86742
BACE_67,61.276825
BACE_68,55.394436
BACE_69,57.61152
BACE_70,57.622585
BACE_71,59.820415
BACE_72,55.728413
BACE_73,61.373074
BACE_74,54.36619
BACE_75,63.564003
BACE_76,62.62977
BACE_77,56.52042
BACE_78,57.380917
BACE_79,56.304848
BACE_80,56.40525
BACE_81,60.379673
BACE_82,62.205536
BACE_83,65.34315
BACE_84,61.793262
BACE_85,52.542233
BACE_86,53.70321
BACE_87,64.86055
BACE_88,61.011345
BACE_89,55.356174
BACE_90,62.291798
BACE_91,56.630024
BACE_92,57.897602
BACE_93,61.332355
BACE_94,53.393154
BACE_95,54.520187
BACE_96,62.469707
BACE_97,55.78879
BACE_98,61.87836
BACE_99,58.4202
BACE_100,61.94369
BACE_101,62.260307
BACE_102,53.257923
BACE_103,62.29858
BACE_104,62.591404
BACE_105,62.661747
BACE_106,63.70071
BACE_107,55.608494
BACE_108,62.046406
BACE_109,60.646595
BACE_110,58.068146
BACE_111,57.69782
BACE_112,59.31998
BACE_113,57.15902
BACE_114,60.994656
BACE_115,59.82208
BACE_117,62.391197
BACE_118,53.76416
BACE_119,55.073147
BACE_120,63.93419
BACE_121,62.82397
BACE_122,55.778645
BACE_123,56.56718
BACE_124,56.2203
BACE_125,54.257328
BACE_126,64.00024
BACE_127,54.05144
BACE_128,57.64437
BACE_129,58.40569
BACE_130,57.327076
BACE_131,62.6559
BACE_132,55.335938
BACE_133,57.674366
BACE_134,55.062298
BACE_135,55.12962
BACE_136,61.7029
BACE_137,51.84766
BACE_138,56.61594
BACE_139,55.17564
BACE_140,57.52775
BACE_141,56.443874
BACE_142,57.84494
BACE_143,58.477818
BACE_144,55.09535
BACE_145,62.583126
BACE_146,61.54236
BACE_147,61.79083
BACE_148,54.850113
BACE_149,58.79656
BACE_150,60.772305
BACE_151,60.818966
BACE_152,58.773094
BACE_153,55.539272
BACE_154,54.92619
BACE_155,57.38535
BACE_156,57.70966
BACE_157,52.037876
BACE_158,59.37032
BACE_159,54.218716
BACE_160,62.569714
BACE_161,55.84792
BACE_162,57.342197
BACE_163,52.196213
BACE_164,56.88969
BACE_165,55.77857
BACE_166,53.847347
BACE_167,56.971172
BACE_168,51.806316
BACE_169,53.280853
BACE_170,56.5344
BACE_171,53.598946
BACE_172,53.365177
BACE_173,58.97156
BACE_174,53.19276
BACE_175,51.54217
BACE_176,56.070778
BACE_177,55.01727
BACE_178,53.634434
BACE_179,54.308456
BACE_180,50.46908
BACE_181,52.09496
BACE_182,50.997246
BACE_183,51.046345
BACE_184,55.76682
BACE_185,55.519985
BACE_186,49.615593
BACE_187,52.978996
BACE_188,51.56561
BACE_189,49.435246
BACE_190,55.608177
BACE_191,51.367447
BACE_192,51.755215
BACE_193,52.315655
BACE_194,47.508255
BACE_195,53.868435
BACE_196,48.830883
BACE_197,51.623356
BACE_198,51.69498
BACE_199,50.48062
BACE_200,48.198895
BACE_201,47.671505
BACE_202,43.44228
BACE_203,43.084724
BACE_204,51.829838
BACE_205,46.86594
