Compound,Polar
BACE_1,58.58920930999992
BACE_2,77.61598800000004
BACE_3,75.28385959000003
BACE_4,63.87280920000005
BACE_5,75.3124171699999
BACE_6,59.15960079999988
BACE_7,76.7296292999999
BACE_8,63.50816887000006
BACE_9,73.39476848000012
BACE_10,71.74798009000003
BACE_11,74.31991936999992
BACE_12,76.14852102999994
BACE_13,73.06527045999985
BACE_14,80.7958277800001
BACE_15,60.804510140000005
BACE_16,72.93200162000005
BACE_17,75.72065874999994
BACE_18,73.55527086999989
BACE_19,75.39564142000003
BACE_20,78.03184996999998
BACE_21,59.69013049000006
BACE_22,81.12710862000012
BACE_23,74.85975911000003
BACE_24,97.69734990999997
BACE_25,65.94056998000008
BACE_26,78.2782305500001
BACE_27,55.061620120000015
BACE_28,52.89399070999993
BACE_29,79.90860162000008
BACE_30,56.894439870000014
BACE_31,74.15284891999993
BACE_32,59.62903069999999
BACE_33,74.52962907999992
BACE_34,61.075439889999906
BACE_35,67.88517981000001
BACE_36,52.92094068000004
BACE_37,63.423809450000064
BACE_38,43.34063903999996
BACE_39,70.22486796999992
BACE_40,43.51856902999999
BACE_41,73.00996934000004
BACE_42,48.99560067999998
BACE_43,73.84524103000008
BACE_44,76.53750044000002
BACE_45,67.86640071000001
BACE_46,74.0934283
BACE_47,63.753268369999944
BACE_48,76.29815990000002
BACE_49,46.34180928999997
BACE_50,73.02749817999992
BACE_51,50.77301084
BACE_52,47.86322877999998
BACE_53,71.49398050999991
BACE_54,41.76318909999993
BACE_55,45.032770000000006
BACE_56,75.90085993000004
BACE_57,67.67547940999992
BACE_58,70.88295913999995
BACE_59,64.86717878000002
BACE_60,59.94403878999998
BACE_61,41.66636903000003
BACE_62,52.72124064999999
BACE_63,67.76764164000004
BACE_64,66.35599800000008
BACE_65,98.00537871999988
BACE_66,65.05203060999996
BACE_67,70.11431121000005
BACE_68,52.70817019999997
BACE_69,43.53418903
BACE_70,54.94620084999995
BACE_71,56.311309320000056
BACE_72,54.69672997000002
BACE_73,58.185180650000035
BACE_74,42.89900999999997
BACE_75,110.51085011999997
BACE_76,59.50880001999999
BACE_77,41.80568969000004
BACE_78,42.972738690000035
BACE_79,58.571609670000015
BACE_80,41.681999029999915
BACE_81,71.07431082999994
BACE_82,60.521980519999964
BACE_83,116.51986997999997
BACE_84,61.6005498900001
